timestamp,value
2022-01-07 00:48:07,33.7
2022-01-13 03:42:24,75.12
2022-01-13 06:28:15,61.43
2022-01-18 15:01:31,15.64
2022-01-20 13:00:43,66.51
2022-02-09 16:07:41,26.6
2022-02-25 02:12:01,7.2
2022-03-02 06:06:15,79.29
2022-03-07 13:03:28,69.25
2022-03-20 15:39:09,74.88
2022-03-21 06:49:08,91.74
2022-03-21 13:49:32,59.61
2022-04-13 06:56:33,15.06
2022-04-21 21:29:56,25.14
2022-04-24 13:23:34,51.56
2022-05-18 20:04:54,73.51
2022-05-20 02:24:20,38.29
2022-06-12 08:29:01,2.08
2022-06-13 16:30:17,68.34
2022-06-14 08:01:07,3.4
2022-06-19 20:05:09,24.36
2022-06-23 02:53:34,41.91
2022-06-26 22:52:38,62.77
2022-07-01 03:18:59,18.62
2022-07-14 08:03:10,9.88
2022-07-24 03:24:21,38.64
2022-07-27 09:00:58,5.48
2022-07-29 12:46:27,94.97
2022-07-30 11:56:22,34.47
2022-08-11 02:52:28,30.98
2022-08-20 19:06:10,64.91
2022-08-27 04:22:51,66.2
2022-08-29 22:41:36,99.16
2022-09-10 20:07:53,85.85
2022-09-13 13:27:38,62.33
2022-09-28 01:25:00,94.27
2022-09-30 22:20:58,42.28
2022-10-01 10:28:19,60.45
2022-10-14 07:16:10,68.45
2022-10-16 08:18:24,82.29
2022-11-01 02:12:20,92.43
2022-11-10 12:09:03,34.04
2022-12-04 18:04:17,92.11
2022-12-06 09:04:31,38.34
2022-12-10 13:07:05,0.99
2022-12-10 22:29:18,90.36
2022-12-18 16:26:33,93.42
2022-12-20 22:35:46,88.75
2022-12-24 22:09:25,76.68
2022-12-27 12:26:29,63.88
